Timestamp,Current,Total voltage,SOC,Temperature,SOH,Equivalent cycle,Application status,Grid status,Grid power,Grid energy consumption,Grid cumulative energy consumption
1556837215000,-300,61.97595586,0.6288234,128.9814022,0.994788037,0.650383341,1,0,0,0,8703.486782
1556838215000,10,61.6556784,0.638131171,73.83887292,0.994731262,0.655037227,1,1,616.556784,171.2657733,8874.752555
1556839215000,10,61.88384599,0.647439473,47.25748916,0.99471388,0.659691378,1,1,618.8384599,171.8995722,9046.652127
1556840215000,10,61.88252714,0.656747938,34.36955021,0.994703962,0.66434561,1,1,618.8252714,171.8959087,9218.548036
1556841215000,10,61.90309412,0.666056496,28.05174789,0.994696382,0.668999889,1,1,619.0309412,171.9530392,9390.501075
1556842215000,10,61.98717922,0.675365124,24.8915829,0.994689737,0.673654204,1,1,619.8717922,172.186609,9562.687684
1556843215000,10,62.10306941,0.684673815,23.25460185,0.994683518,0.678308549,1,1,621.0306941,172.5085261,9735.196211
1556844215000,10,62.23456205,0.693982564,22.3582781,0.994677513,0.682962924,1,1,622.3456205,172.8737835,9908.069994
1556845215000,10,62.37466889,0.70329137,21.82824277,0.994671622,0.687617326,1,1,623.7466889,173.2629691,10081.33296
1556846215000,10,62.52035746,0.71260023,21.4856424,0.994665796,0.692271756,1,1,625.2035746,173.6676596,10255.00062
1556847215000,10,62.67000214,0.721909145,21.24524496,0.994660009,0.696926214,1,1,626.7000214,174.0833393,10429.08396
1556848215000,10,62.8222361,0.731218114,21.06661322,0.994654243,0.701580698,1,1,628.222361,174.5062114,10603.59017
1556849215000,10,62.97602772,0.740527137,20.93070647,0.994648486,0.70623521,1,1,629.7602772,174.9334103,10778.52358
1556850215000,10,63.13051555,0.749836214,20.82866709,0.994642729,0.710889748,1,1,631.3051555,175.3625432,10953.88613
1556851215000,10,63.28490657,0.759145345,20.75644609,0.994636963,0.715544314,1,1,632.8490657,175.7914071,11129.67753
1556852215000,10,63.43842911,0.768454529,20.71222674,0.994631179,0.720198906,1,1,634.3842911,176.2178587,11305.89539
1556853215000,10,63.5903131,0.777763768,20.69518945,0.994625369,0.724853526,1,1,635.903131,176.6397586,11482.53515
1556854215000,10,63.73978416,0.787073062,20.70491965,0.994619524,0.729508172,1,1,637.3978416,177.054956,11659.59011
1556855215000,10,63.88606477,0.79638241,20.74112425,0.994613635,0.734162846,1,1,638.8606477,177.461291,11837.0514
1556856215000,10,64.02837888,0.805691813,20.80349614,0.994607693,0.738817548,1,1,640.2837888,177.856608,12014.90801
1556857215000,10,64.1660073,0.815001271,20.89165031,0.99460169,0.743472277,1,1,641.660073,178.2389092,12193.14692
1556858215000,10,64.29894592,0.824310786,21.00509434,0.994595616,0.748127035,1,1,642.9894592,178.6081831,12371.7551
1556859215000,10,64.42772515,0.833620358,21.14321601,0.994589461,0.75278182,1,1,644.2772515,178.9659032,12550.721
1556860215000,10,64.55289608,0.842929987,21.30527928,0.994583217,0.757436635,1,1,645.5289608,179.3136002,12730.0346
1556861215000,10,64.67501793,0.852239675,21.49042475,0.994576873,0.762091479,1,1,646.7501793,179.6528276,12909.68743
1556862215000,10,64.79465819,0.861549422,21.69767252,0.994570419,0.766746353,1,1,647.9465819,179.9851616,13089.67259
1556863215000,10,64.9123924,0.87085923,21.92592657,0.994563845,0.771401256,1,1,649.123924,180.3122011,13269.98479
1556864215000,10,65.02880392,0.880169099,22.17398021,0.994557141,0.776056191,1,1,650.2880392,180.6355664,13450.62036
1556865215000,10,65.14448325,0.889479031,22.44052224,0.994550296,0.780711157,1,1,651.4448325,180.9568979,13631.57726
1556866215000,10,65.26002718,0.898789027,22.7241438,0.994543299,0.785366155,1,1,652.6002718,181.2778533,13812.85511
1556867215000,10,65.37603766,0.908099089,23.02334581,0.99453614,0.790021186,1,1,653.7603766,181.6001046,13994.45521
1556868215000,0,65.37912617,0.908099089,23.21935933,0.994529407,0.790021186,1,1,0,0,13994.45521
1556869215000,0,65.37879009,0.908099089,23.48875158,0.994522612,0.790021186,1,1,0,0,13994.45521
1556870215000,0,65.37878652,0.908099089,23.79801274,0.994515741,0.790021186,1,1,0,0,13994.45521
1556871215000,0,65.37878648,0.908099089,24.13013368,0.994508787,0.790021186,1,1,0,0,13994.45521
1556872215000,0,65.37878648,0.908099089,24.47599201,0.994501743,0.790021186,1,1,0,0,13994.45521
1556873215000,0,65.37878648,0.908099089,24.83022967,0.994494607,0.790021186,1,1,0,0,13994.45521
1556874215000,0,65.37878648,0.908099089,25.18928285,0.994487374,0.790021186,1,1,0,0,13994.45521
1556875215000,0,65.37878648,0.908099089,25.55044325,0.994480044,0.790021186,1,1,0,0,13994.45521
1556876215000,0,65.37878648,0.908099089,25.91141358,0.994472614,0.790021186,1,1,0,0,13994.45521
1556877215000,0,65.37878648,0.908099089,26.27009979,0.994465084,0.790021186,1,1,0,0,13994.45521
1556878215000,0,65.37878648,0.908099089,26.62451687,0.994457453,0.790021186,1,1,0,0,13994.45521
